repo,web_property,items,issues,prs,open,bug,feature,deps,chore,ci,testing,docs,security,uncategorised,platform-cos,platform-tls,platform-terraform,platform-airgap,platform-backup,platform-arm64
canonical/lego-operator,0,277,17,260,12,43,38,154,197,13,6,4,1,6,0,11,10,0,0,0
canonical/library.canonical.com,1,292,63,229,36,81,53,66,14,2,6,14,11,86,1,0,0,1,2,0
canonical/litmus-operators,0,234,50,184,13,22,70,40,121,9,8,8,0,21,3,14,5,0,0,0
canonical/livepatch-k8s-operator,0,122,6,116,3,13,30,4,27,8,5,3,5,38,4,1,0,2,0,0
canonical/livepatch-machine-charm,0,83,1,82,21,4,11,38,6,6,6,2,13,17,1,0,0,2,0,0
canonical/loki-k8s-operator,0,658,225,433,39,162,163,28,89,15,37,24,3,186,114,17,4,4,0,5
canonical/maas-charms,0,661,159,502,11,63,58,48,362,41,6,5,0,164,20,14,0,3,14,1
canonical/maas-image-mirror-operator,0,3,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
canonical/maas-site-manager-k8s-operator,0,102,4,98,5,17,16,10,40,9,2,5,0,24,7,2,0,0,0,0
canonical/manual-tls-certificates-operator,0,565,32,533,10,77,80,322,389,25,17,9,3,23,2,50,2,0,0,2
canonical/marketplace-analytics,1,14,1,13,6,0,4,4,0,0,0,0,0,6,0,0,0,0,0,0
canonical/mattermost-k8s-operator,0,79,4,75,5,10,31,11,12,9,9,9,1,15,4,0,4,0,0,0
canonical/maubot-operator,0,158,3,155,3,26,30,74,57,9,8,10,3,36,8,0,2,0,0,0
canonical/mediawiki-k8s-operator,0,227,2,225,8,43,66,96,59,8,14,38,5,23,5,2,6,2,0,0
canonical/metacontroller-operator,0,215,28,187,5,33,50,75,73,43,16,3,4,22,10,0,11,0,0,0
canonical/microcluster-token-distributor-operator,0,19,1,18,1,1,6,2,0,1,1,1,0,9,0,0,0,0,0,0
canonical/microovn-operator,0,102,0,102,7,8,20,18,9,8,10,8,1,39,0,3,0,0,0,0
canonical/minio-operator,0,300,67,233,22,71,82,87,78,46,26,7,0,32,12,0,10,2,3,0
canonical/mlflow-operator,0,448,114,334,35,103,117,106,107,53,33,50,5,64,14,2,11,4,1,0
canonical/mlmd-operator,0,174,25,149,5,18,46,66,62,41,8,5,0,20,0,0,9,0,3,0
canonical/mlops-libs,0,16,8,8,3,2,9,6,4,4,1,0,0,0,0,0,0,0,0,0
canonical/mongo-single-kernel-library,0,385,24,361,53,49,63,105,34,33,64,35,18,97,1,26,0,0,10,2
canonical/mongodb-k8s-operator,0,581,48,533,23,101,82,213,79,41,51,17,18,141,4,16,6,1,13,1
canonical/mongodb-operator,0,703,73,630,32,151,99,123,14,45,104,29,3,213,5,35,8,0,41,1
canonical/mongos-k8s-operator,0,234,4,230,15,30,43,123,4,20,5,2,9,40,0,7,1,0,2,1
canonical/mongos-operator,0,250,9,241,15,32,39,119,12,21,12,4,10,49,0,13,1,0,2,1
canonical/munge-operator,0,6,4,2,4,0,4,1,0,2,0,0,0,1,0,0,0,0,0,0
canonical/mysql-operators,0,448,88,360,71,177,95,60,0,25,64,54,12,69,3,9,4,5,5,2
canonical/mysql-router-operators,0,197,27,170,28,64,30,36,1,17,38,5,6,32,4,3,1,0,3,2
canonical/mysql-test-app,0,66,8,58,1,13,14,2,0,6,12,2,0,24,0,1,0,0,0,1
canonical/namespace-node-affinity-operator,0,100,16,84,5,13,17,39,42,29,4,0,0,8,0,0,6,0,0,0
canonical/nats-operator,0,208,2,206,1,10,13,68,148,17,7,2,11,25,0,2,0,0,0,1
canonical/netbox-k8s-operator,0,101,8,93,8,12,24,27,39,10,15,21,1,8,1,1,13,0,0,0
canonical/netplan.io,1,307,49,258,17,28,30,140,57,6,2,21,11,86,0,1,0,0,0,0
canonical/ngc-integrator-operator,0,42,8,34,5,4,9,27,9,13,0,0,0,1,0,0,1,0,0,0
canonical/nginx-ingress-integrator-operator,0,434,40,394,7,62,66,189,168,23,19,53,3,86,1,16,7,6,1,4
canonical/notary-k8s-operator,0,202,2,200,12,23,31,132,147,12,11,2,1,2,2,6,0,0,0,5
canonical/notebook-operators,0,581,127,454,22,123,147,171,207,63,49,7,10,58,13,2,14,2,0,0
canonical/o11y-tester-operator,0,51,3,48,15,3,10,15,26,11,13,0,1,1,10,1,0,0,0,0
canonical/oathkeeper-operator,0,269,24,245,16,28,25,38,185,23,12,1,2,19,1,2,0,4,0,0
canonical/oauth2-proxy-k8s-operator,0,289,26,263,14,32,29,48,206,32,6,3,3,15,0,5,4,8,0,0
canonical/object-storage-integrator,0,188,23,165,10,24,35,62,3,20,9,4,3,54,0,2,0,1,0,1
canonical/observability-libs,0,130,29,101,2,41,40,5,3,11,3,8,2,42,4,6,0,0,0,0
canonical/oidc-gatekeeper-operator,0,245,45,200,9,39,66,83,63,43,19,6,0,29,0,0,10,1,0,0
canonical/open-graph-images-generator,1,19,0,19,4,0,1,16,16,0,0,1,0,1,0,0,0,0,0,0
canonical/openapi-rest-proxy,0,32,1,31,12,4,3,6,0,2,0,0,1,20,0,0,0,0,0,0
canonical/opencti-operator,0,170,4,166,7,23,19,68,75,11,7,15,1,38,3,2,13,0,1,0
canonical/opendkim-operator,0,86,1,85,4,14,15,36,48,6,8,9,0,9,1,0,8,0,0,0
